id,title,released,country,master_id,status
241636,Heart,2004-03-15,UK,116535,Accepted
243786,5 Boros / Four W's,2004,US,79477,Accepted
245489,Leave Home,2002-11-11,Europe,,Accepted
245735,Freakualizer / Shit Happens,2001,Germany,,Accepted
246621,Beat,2001,Italy,153104,Accepted
249201,High Fashion Dance-Music (Non Stop Dance Remix),1983,Netherlands,270033,Accepted
250695,The EP Vol. 2,2003-12-00,UK,,Accepted
250963,Collectio,2004-04-23,Finland,,Accepted
252672,La Luna,2004-02-00,Netherlands,75989,Accepted
253447,Circuitbreaking,2004-02-00,Germany,58471,Accepted
257470,So Bad E.P,2003,UK,,Accepted
260315,XTC Trax 1,1995,Belgium,197916,Accepted
295869,Bird Up - The Charlie Parker Remix Project Special Edition EP,2003,US,61239,Accepted
305923,Le Soleil Noir,2000,Germany,123853,Accepted
306286,Situationism EP,1996,France,605970,Accepted
308025,The Touch,1984-11-00,UK,50096,Accepted
308640,Kurupt EP,2002,UK,,Accepted
308669,(Walking On) Sunshine 89,1989,Germany,86096,Accepted
309003,Versatile Mixtape,2004,France,718270,Accepted
309290,Passion,1988,US,79671,Accepted
311508,Pinkkibikinihinkkichiksi,2002,Finland,1715641,Accepted
313709,Easy Access,2002-08-00,US,,Accepted
322472,Jardin Chinois (Nouvelle Version),1981,France,1342369,Accepted
323293,I,2004-05-04,US,299126,Accepted
323584,Against The Grain,1983,US,,Accepted
324787,Turn Me Up,1978,US,169130,Accepted
327022,Starship Love,1998-12-09,Germany,,Accepted
327319,Lilt,2001,Canada,,Accepted
328179,Voodoo,2004-10-00,UK,31882,Accepted
330994,100 Hot Bunnies E.P.,2003-10-13,Germany,40172,Accepted
332350,Sport EP,2001,Austria,155278,Accepted
334457,Circles (Remix),1996,UK,138658,Accepted
335900,Transcendances - New Sound Patterns #1,2004-09-00,Portugal,1153096,Accepted
337143,Ice Cream Castle,1987-07-07,US,16548,Accepted
340502,Lollipop,2003,Japan,393310,Accepted
341743,Lagoa 15,2004-10-30,Belgium,,Accepted
342800,Tom's Diner,1990,US,31828,Accepted
348316,"Original Stalag 17, 18 And 19",1984,Jamaica,177484,Accepted
353489,Tout Est Bleu,1998-12-07,UK,120598,Accepted
355204,Mathar / Regards From Freddie Horowitz,2001,Germany,2240092,Accepted
358245,Quandary,2002-08-03,UK,725687,Accepted
362492,Pragmatik,2004-11-11,France,,Accepted
362715,Its A New Dawn / Bounce Ya Head,2004,UK,1876323,Accepted
367077,the_Network.,,US,,Accepted
367725,"Nicely, Nicely",1994,US,310200,Accepted
376397,The Craze,2005,Germany,,Accepted
390299,We Were Only Dancing,1988-09-26,Sweden,22226,Accepted
392546,Thoughts Of Love,1976,Germany,309898,Accepted
393046,100%,1992-06-00,UK,24939,Accepted
396223,Aspera Hiems Symfonia,1997-01-14,US,12431,Accepted
398173,Cheek To Cheek,1989,UK,127125,Accepted
402494,Galaxi,1983,Germany,100385,Accepted
404366,Provocative / Acid Fool,2005-02-00,UK,555088,Accepted
404968,Xque? Remember EP 2,2003,Spain,,Accepted
406585,Phobia / Psychopathic,1992,US,269755,Accepted
408700,Moan For Love,,US,489032,Accepted
411214,Obsolete Perversion,1995,US,,Accepted
412237,Cobra,2001,Switzerland,55553,Accepted
413961,Kidney Bingos,1988-04-00,US,50635,Accepted
415417,Let The Energy Flow,1990,UK,240044,Accepted
416484,VDZ BREAK III,2002,France,,Accepted
416894,Ca Cartoon / Is That War,2005-02-21,France,,Accepted
417877,Play America,2005-02-21,Norway,1233647,Accepted
418339,New Songs For A New Route,1981,UK,1671210,Accepted
418467,Flicker,1985,Europe,1204223,Accepted
420850,Crush On You / Just Be Good 2 Me,2003-10-22,UK,,Accepted
423337,Crashtest,2000,France,,Accepted
430072,Rock 'N' Roll Animal,1988,US,44368,Accepted
433718,L'Enfant Assassin Des Mouches,2003,France,164145,Accepted
434074,Inner City Experience Volume 3,2005-04-00,US,1228715,Accepted
439163,Hanging On / Centuries,2005-05-31,UK,,Accepted
442614,Jars Of Clay,1995-10-25,US,94815,Accepted
446327,II,1986-07-14,UK,32993,Accepted
456269,Supergabber,1997,Netherlands,102418,Accepted
456284,A Feast Of Yellow Dub,1990,US,827641,Accepted
458574,Meditation Of The Lost,2003,Belgium,,Accepted
460859,Madrid,2005,Spain,,Accepted
461709,Welcome To My Butt,1995-09-29,Germany,,Accepted
461786,Candira,2005-05-23,Netherlands,,Accepted
466518,Around The World (The Remixes),1994,Europe,85407,Accepted
470335,Ultimate Toy,2005-06-00,Italy,,Accepted
471263,Rub' N' Tug Present Campfire,2005-05-23,Belgium,181692,Accepted
481725,Chicago Sur Seine,2005-07-04,France,,Accepted
482206,Teenage DJ Disco Best,2005-06-00,UK,,Accepted
484486,Buhaina's Delight,2004,Europe,62701,Accepted
488648,Say I'm Your No. 1,1985,Germany,73609,Accepted
489148,Five Track Extended Play,2002,UK,,Accepted
489877,Montage (The Nightlife Tour),2001-11-12,UK & Europe,33958,Accepted
492579,Hot Property,1979,UK,120650,Accepted
493401,House Party '95 - The Kinky Klubmixx,1995,France,84413,Accepted
497648,Baby Boomer Classics - The Sixties (Volume 3),,UK,1992199,Accepted
498547,Island,1998,Japan,,Accepted
500154,Take Control,1997-11-24,Germany,128975,Accepted
501843,Sgt. Pepper Knew My Father,1988-04-04,UK,212227,Accepted
508011,We've Got To Live Together,1992,Germany,129640,Accepted
508707,Off 2 Work,2005-03-21,UK,37708,Accepted
513828,Free Jah Children,2004-09-00,UK,,Accepted
517664,EP Two,1994,Italy,456090,Accepted
518954,7,1992,Europe,97256,Accepted
522929,Basement Soul,2005-05-25,Netherlands,193722,Accepted
523792,Trancetribe Recordings Release 2,2005-03-01,Australia,,Accepted
528869,Up To No Good,1996,Canada,82692,Accepted
528882,Sweet Child Of Mine,2005-09-00,Australia,85165,Accepted
531521,Fuse Presents Joris Voorn,2005-11-00,Belgium,189,Accepted
533112,Bogatiri (Live In Russia),2005,US,,Accepted
537276,Rock Hard,2002,UK,80906,Accepted
540456,Two Originals: Closure:Live + Inperspective,2003,Germany,2143591,Accepted
544769,4Sumaksion,2005-03-00,Germany,,Accepted
547403,B-Boys Beware,1983,Germany,94383,Accepted
547949,A La Carte (Kulinarische Spezialitäten),1984,Austria,75677,Accepted
557202,Our Melody / Ruff 'N' Ready,2005,Spain,,Accepted
558521,Sex: Too Fast To Live Too Young To Die,2003-09-15,UK,1814662,Accepted
558988,House Of Mind,2004-11-01,Germany,,Accepted
562073,The Smoocher Is Back - 12 Class X Soul Tracks,1997,France,196895,Accepted
563057,Chandeliers In The Savannah,2005-09-13,US,215772,Accepted
567111,Thunder,1994,UK,1614604,Accepted
569131,Hydro,1991,Germany,11341,Accepted
569466,Lady Marmalade,2001,Europe,42739,Accepted
571004,1349,2001,US,642505,Accepted
573713,Clockwise EP,2004,US,,Accepted
578706,Physical,1990,Italy,,Accepted
580263,Tattoo Blue,2001,UK,217155,Accepted
586358,Only The Magic School Bus Goes Back In Time!,2003,US,506948,Accepted
592068,Vision Of A Vision 12,1995,UK,798470,Accepted
594237,I Wanna / The Right,1995,UK,,Accepted
595591,The Colours Of Zoth Ommog,1994,Germany,14630,Accepted
596322,Chicken -N- Beer,2003-10-06,Australia,93055,Accepted
596700,Infinite Nothing,2002,UK,,Accepted
596973,1969 Velvet Underground Live With Lou Reed - Volume 1,,UK,318726,Accepted
597623,You Think You're A... Medley,1986,Mexico,80064,Accepted
598450,Portrait,1972,Germany,782235,Accepted
600596,Black Sea,2002,US,,Accepted
602319,A Deeper Love,2001,Netherlands,76022,Accepted
608626,Fallin' In & Out Of Love (Alex Natale Remixes),1997,Italy,78534,Accepted
611821,Solar Moon,2001,Germany,298034,Accepted
612017,Loneliness,2006-02-16,UK,94043,Accepted
614983,Dix Ans d'Essais Radiophoniques Du Studio Au Club D'Essai : 1942-1952,1989,France,,Accepted
615202,Bedouin Sound Clash,1996,US,29127,Accepted
616363,Toi + Moi / La R.U.E.,2001,France,,Accepted
618702,Stone Sour,2003,Europe,138556,Accepted
619010,Show,1993-10-01,Japan,32046,Accepted
621454,Cosmik Chill Red,2006-03-13,France,,Accepted
621748,Al Capone,1987,UK,343307,Accepted
622512,Whose Fist Is It,1994,Europe,,Accepted
623808,Remixes For Free?,2006-02-13,US,,Accepted
624734,Somebody Skreem!,2003-02-11,Netherlands,71791,Accepted
629737,Registry Check EP,2006,US,,Accepted
630083,In Private (Remix),1989,UK,74398,Accepted
634336,Drive-Thru Booty,1994-10-10,Europe,1125,Accepted
636560,Freshly Baked Dubs,1998-00-00,US,,Accepted
639953,Musik Aus Rußland II,,Germany,1315422,Accepted
642844,Satisfy,2006-03-00,Germany,257595,Accepted
644071,Golden Saxophone,2001,US,,Accepted
646206,I.O.U.,1998,Germany,132106,Accepted
648532,Original Funk Soul Sister: The Best Of Ann Peebles,2006-03-06,UK,,Accepted
652950,Devotion,2006,Italy,,Accepted
654290,Venus,1986,France,77599,Accepted
658871,Birth Of The Cool Funk - Vintage Jams And Serious Grooves - Volume 2,1998,US,,Accepted
661956,Atención,2005,Germany,85054,Accepted
664657,Welcome To The Future (Remix),2001,Spain,309990,Accepted
665555,Numero Uno (Remix),1989,"Germany, Austria, & Switzerland",129141,Accepted
667155,Chaos A.D.,1993,Netherlands,57960,Accepted
669952,New York Times,1985,Scandinavia,312329,Accepted
670196,Sleeping Satellite,1992,UK,132239,Accepted
674776,The World Is A Ball,1986,Europe,105637,Accepted
678424,Male Payment,1991,US,,Accepted
681821,My Guy,2004,Belgium,,Accepted
682417,Leave Tonight,2006,UK,,Accepted
687081,Future Games,1988,Germany,38688,Accepted
688430,The Ballet,2006-05-18,Belgium,143860,Accepted
688468,Music Of Quality And Distinction Volume 2,1991,UK,56044,Accepted
693796,Typewriter EP,2006-05-19,Netherlands,,Accepted
693916,Hot Swing,1991,Italy,895779,Accepted
695047,Break Beats 1,1989,UK,2561465,Accepted
696595,Open Our Eyes,1974-02-22,US,99501,Accepted
705630,Gas Satori,2006-06-09,US,,Accepted
707415,I Will Not Lose,2003,US,,Accepted
708914,Watch Out,2006-06-05,UK,58003,Accepted
710680,The World Is A Ghetto,1997,UK,183238,Accepted
711828,Everybody's Turning Back,2001,Austria,101853,Accepted
714878,Carcimetrio,2006,Poland,,Accepted
716030,Shadows Fly On The Motorway,2006-02-20,UK,,Accepted
716228,Brookland / Oaklyn,2006-05-23,US,19349,Accepted
718064,Black Foliage: Animation Music Volume 1,1999-04-00,US,63148,Accepted
723634,The Radio One Recordings,1999,UK,70111,Accepted
726527,Collectors Item,2001,Canada,2438680,Accepted
726848,Hits 5,1986,UK,191657,Accepted
727536,La Couleur Odorante,2006-07-24,France,18200,Accepted
728610,Vreau Sarutarea Ta,2003-10-27,Romania,874496,Accepted
732054,JR Vs. Lisbent,2005-11-23,Denmark,,Accepted
735563,Playing Music To An Empty Room,1986,UK,,Accepted
740561,Will You Find Me,2000,US,105320,Accepted
741209,The Scope,2006-04-21,Germany,196611,Accepted
745285,Cracking Up,1998-04-06,Europe,5593,Accepted
753493,Venus 90,1990,France,502582,Accepted
756050,De Bremer Stadsmuzikanten En Andere Sprookjes En Vertellingen,1986-03-00,Netherlands,,Accepted
761443,Backseat Of Your Cadillac,1988-09-00,Europe,65313,Accepted
767226,Marie / You Can Tell,1965,UK,225070,Accepted
776292,Talk Dirty / Mechanical Indian Elephant,2006,US,,Accepted
781801,Leave The City,1970,France,40264,Accepted
782854,7,2006-07-03,US,,Accepted
791574,Fatal Distraction,2006-09-00,Germany,,Accepted
792701,Ses Grandes Musiques De Film,,France,104682,Accepted
796767,Don't Get Discouraged,2005-05-00,US,549919,Accepted
797616,Don't U Want Me,1994,Italy,139362,Accepted
798032,Post Marked Stamps No. 2,1996-09-00,US,,Accepted
798457,Fly Away With You,1995,Spain,188887,Accepted
799926,Machina Ex-Humana,2005,Portugal,,Accepted
805072,Remixed By Nicola Conte & Povo,2006-10-00,Finland,,Accepted
807406,Hurry Up,1981,Belgium,405552,Accepted
812961,Brooklyn Kids,1995,US,1143323,Accepted
817361,Everybody's Free,2006-10-00,France,101860,Accepted
818213,Ill Experience,2005-07-04,UK,,Accepted
827337,Electronic Highway,1995,Germany,47918,Accepted
828655,Anything,2006-11-08,UK,198078,Accepted
829245,Hot Pants / Hot Pants - Do You Wear Em,1971,US,1220231,Accepted
832541,Švilpiai,2002,Lithuania,241982,Accepted
833798,People Say,2006-10-04,Sweden,,Accepted
837341,Can't Be Sure,1990,US,12392,Accepted
839166,Mean Son Of A Gun,2006-09-11,UK,73392,Accepted
849789,The Other Guy,1991,US,445337,Accepted
851413,Greatest Hits,1996,Europe,,Accepted
854601,Let Me Love You: The Greatest Hits,2001,US,,Accepted
859214,Untitled (How Does It Feel),1999,UK,151756,Accepted
861460,Sweet Reggae Music,,,,Accepted
861777,Colonial Conquest,1991,Denmark,,Accepted
864321,Disappear,1990,France,69777,Accepted
869216,Satin Black,2004-07-06,US,9470,Accepted
870798,It's Too Late,1991,UK,19202,Accepted
872163,Dixie Jass Band One Step / Livery Stable Blues,1917,US,585387,Accepted
874072,We Got You,2006-10-02,UK,10357,Accepted
879398,Techno Marathon,2000-04-25,Germany,,Accepted
879977,Instructions Of Life,1991,UK,7454,Accepted
884242,Nirvana Mandala,1980,Netherlands,275820,Accepted
898032,Jeromine,1988,Belgium,866340,Accepted
898704,Delta Row,2006,UK,,Accepted
901298,Teleportation,1999,Russia,230475,Accepted
902407,See My Baby Jive,1973,Germany,88599,Accepted
903384,We Who Are Not Liek Fettoters,2006-11-21,Norway,,Accepted
904284,Whitelabel Mmx,2005,US,,Accepted
905026,Live At: Movement 10th Birthday Bash,2007-02-00,UK,,Accepted
906455,Subject To Affliction,,US,,Accepted
906947,Applied Schizophrenic Science,2006-07-25,UK,781281,Accepted
907655,Protest Songs,1989,UK,25804,Accepted
908571,Hexensabbat,1978,Germany,,Accepted
909968,Harmonize / Night Vision,2007,UK,203501,Accepted
911145,Map Ref. 41ºN 93ºW,1979-11-02,UK,428364,Accepted
911740,The Best Of  - Soldier Of Fortune,1987,UK,398671,Accepted
915580,Once Around The Sun,1996,UK,,Accepted
917905,Spiritual Bullet,2002,Japan,557683,Accepted
919441,Rata-Äänite,2007-01-24,Finland,1280975,Accepted
923814,Horse Cock Phepner,1987,US,136823,Accepted
926400,Truly Madly Deeply,2007-03-13,US,24134,Accepted
927574,You're My Life,1977,UK,1773749,Accepted
943079,På Jakt,1990,Sweden,282364,Accepted
944614,Charlene,1977,Spain,313332,Accepted
945147,Dildo,1992,Italy,41873,Accepted
945203,The Ultimate Collection,2002,Netherlands,,Accepted
946859,No Policy E.P,1981,US,268453,Accepted
949971,80s Extended,2005,Netherlands,,Accepted
952755,Love Will Tear Us Apart : Joy Division 1995,1995,Canada,5095,Accepted
954520,Attention! Nina Simone!,1974,Germany,780811,Accepted
957087,Mutation Phonique,2007,France,,Accepted
958352,Nancy,1969,US,248496,Accepted
959065,Crazy Itch Radio,2006-09-04,UK,35840,Accepted
959327,Doctor's Darling / Pure Love,2002,Germany,718568,Accepted
961971,Whiggle In Line,1994,UK,148961,Accepted
963888,Devil's Gun,1978,France,92006,Accepted
966169,Veci Čo Sa Dejú,2003-12-02,Czech Republic & Slovakia,412293,Accepted
968770,Musick As A Weapon 04-07,2007-05-12,US,,Accepted
969625,Hund,2006,Sweden,147352,Accepted
970201,Rock Your Baby / Born To Be Alive,1995-11-24,Germany,160303,Accepted
970295,Swing Low Sweet Chariot,1975,Scandinavia,85215,Accepted
972355,La Rockeuse De Diamants,1984,France,1879503,Accepted
974155,Schmidtchen Schleicher / Die Ukulele,1976,German Democratic Republic (GDR),114592,Accepted
984057,Superfreq Express (London - Ibiza Return),2007-05-19,UK,,Accepted
984365,I Second That Emotion,1989,USA & Canada,149715,Accepted
985147,This One,2001,US,164480,Accepted
985173,Won't Talk About It,1990,Australasia,53151,Accepted
986117,Narrabeen Darjeeling,2007-06-00,US,,Accepted
986513,The Bwana All-Stars Godfather Revue,1989-05-00,US,,Accepted
987336,John Barleycorn Must Die,1970,Italy,69017,Accepted
989100,Xtreme Hardcore From Rotterdam Vol. 4,2007-04-00,Netherlands,,Accepted
990953,С Любовью И Сексом,2006-12-17,Russia,,Accepted
992952,DanceMix 2001,2000,Mexico,,Accepted
996953,Comanche / The Chamber,2007-08-06,UK,5111,Accepted
997981,The 7 Jump,1999,Netherlands,193746,Accepted
1001796,Ain't Nuthin' Wrong,1997-10-22,US,254400,Accepted
1002234,Let Go,2007-07-02,Spain,,Accepted
1003777,Me & Mr. Fantasy,1995,Germany,239129,Accepted
1003865,Tell Me,1998,UK,188376,Accepted
1005403,Yeah! Yeah!,1993,Europe,1523553,Accepted
1006480,Who You Are,1996-06-30,Europe,73739,Accepted
1010444,Necrophiliac,2007-07-07,US,,Accepted
1014865,Ladybird,2007,UK,850089,Accepted
1014886,Heater,2007-07-12,Germany,98213,Accepted
1015117,Toca Toca Mi Re Fa,1976,France,679472,Accepted
1015805,Kalimba De Luna,1992,"Germany, Austria, & Switzerland",23107,Accepted
1016516,Fallin' In Love,1975,US,181434,Accepted
1017729,Walking Round The Appletree,1998,Germany,393862,Accepted
1022157,Love On Love,1989,Canada,92644,Accepted
1025402,Street Cinema 2 / Enemies Of Hate,2000,US,,Accepted
1034065,Lupus Dei,2007,Germany,137270,Accepted
1035190,Four Compositions (1973),1977,Japan,940090,Accepted
1040339,I Show You Secrets,1994,Germany,45227,Accepted
1044084,En Passant,1997,Europe,838047,Accepted
1045569,Crece,2004,Chile,1725688,Accepted
1046086,Doriella Du Fontaine,1984,USA & Canada,179032,Accepted
1047104,Circus Life,2007-03-01,US,,Accepted
1053892,Bacardi Feeling (Remixes '97),1997,Europe,165850,Accepted
1054117,Scatter,2003-10-01,Switzerland,,Accepted
1055070,Etienne,1987,UK,80704,Accepted
1056725,Super Dance Mix 96,1996,France,,Accepted
1056854,Bez Ljubavi,2006,Serbia,992360,Accepted
1057538,A Collection,2005-08-24,Europe,71192,Accepted
1058490,7 Different Bands,1993,UK,,Accepted
1060692,Fornika,2007-04-07,Germany,92828,Accepted
1060997,Strangefolk,2007-08-20,UK,245465,Accepted
1067064,Window Shopper,2005,US,100203,Accepted
1067207,The Sky Is Mine,2007-09-03,UK,62372,Accepted
1067337,Song Sung Blue,1972,Yugoslavia,744945,Accepted
1070024,Neotokyo / Goblin,2007-07-26,UK,152662,Accepted
1070690,Call Of The Wild,1985-09-25,Japan,83067,Accepted
1072511,Watching You,2007,US,205418,Accepted
1075097,Angel En Tus Brazos,1977,US,133155,Accepted
1075250,Rock Your Body,1995-05-30,Netherlands,35591,Accepted
1076980,Palpita Libertador,2007-09-20,Colombia,,Accepted
1080620,Pop Culture Press #35,1995,US,,Accepted
1081030,Pod,1990-05-28,UK,20742,Accepted
1081320,Untitled,2007,Spain,,Accepted
1081898,Classics Volume 1: Let Them Say & Edide,1999,Nigeria,1281852,Accepted
1081919,Love Suite (Remix '89),1989-03-27,Germany,85774,Accepted
1082490,Two Monkeys,1997,Germany,107011,Accepted
1087387,Say It Again (Special Club Remix),1985-07-00,Europe,13031,Accepted
1089153,Videolover,2007-09-21,Czech Republic,,Accepted
1092247,Johnny D. Is Back!,1988-04-00,US,131410,Accepted
1092683,Everybody's Free,2006,UK,356565,Accepted
1093872,Rhythms From A Cosmic Sky,2007,US,186988,Accepted
1095399,Secrets,1988,Germany,380216,Accepted
1095565,Wings Of Love,1997,UK,38482,Accepted
1098069,Somebody's Gonna Get Hurt,1986,UK,361257,Accepted
1098877,Vanessa's B.H. (Vanessa's Square Dance) / Wiener Mars,1983,Belgium,,Accepted
1099116,Cowboy (Remix),1993,Spain,134680,Accepted
1100729,Influence... When Haunting Voices Are Calling,2007-06-18,Russia,,Accepted
1101399,The Lost Aberrant Dragonfly EP,2003,UK,17673,Accepted
1106206,Stereo Concert,1962,US,496531,Accepted
1110217,Freshness Vol. 3,2007,Spain,,Accepted
1113644,Kill To Get Crimson,2007-09-17,Europe,46504,Accepted
1115745,Eld,2004,Russia,28347,Accepted
1117376,T Virus / Eidolon,2007,US,,Accepted
1118209,Sports,1985,Europe,115328,Accepted
1126852,Let Us Go / Goodbye,2001,US,,Accepted
1132686,Version Simple (Et Version Compliquée),1998-06-00,France,,Accepted
1134301,Search For The Ball,2000,Netherlands,152665,Accepted
1135598,2 Hearts,2007-11-12,UK,331060,Accepted
1136006,Pump It Up,2007-07-12,UK,,Accepted
1136048,Directions EP,2007-10-24,UK,99667,Accepted
1138076,Yeah / Dig This Vibe (Remix),1995-00-00,UK,46423,Accepted
1139201,1995 Rave #11,1995,Switzerland,,Accepted
1140205,Saturday Night Fever (The Original Movie Sound Track),1977,Australia,23443,Accepted
1140883,Just Deep,1994,Belgium,,Accepted
1144078,Place Your Bets E.P.,2008-05-22,France,,Accepted
1146836,The Devil Knows My Name,2007,Europe,594851,Accepted
1147261,A Hangover You Don't Deserve,2005,US,135122,Accepted
1155885,Anti Fascist Oi! E.P.,1994,Spain,902312,Accepted
1160974,Across The Tracks,1987,UK,1494831,Accepted
1172210,Instruments Of Chaos / Mask Of The Phantom / Mad Fright Night,1994,US,,Accepted
1175058,Champion DJ,2003-02-00,UK,,Accepted
1178240,Wire Post To Wire,2004-03-23,US,485235,Accepted
1179721,The Way We Do It...,1999,Scandinavia,,Accepted
1180250,"In The End, All Things Begin",2005,US,,Accepted
